# site 	 DENSITY
529       	0.106     	0.085     
530       	0.103     	0.083     
531       	0.096     	0.105     
532       	0.087     	0.094     
533       	0.093     	0.111     
534       	0.091     	0.100     
535       	0.099     	0.093     
536       	0.113     	0.084     
537       	0.115     	0.117     
538       	0.085     	0.075     
539       	0.097     	0.069     
540       	0.097     	0.105     
541       	0.109     	0.089     
542       	0.085     	0.073     
543       	0.083     	0.083     
544       	0.109     	0.096     
545       	0.095     	0.103     
546       	0.098     	0.080     
547       	0.101     	0.094     
548       	0.096     	0.098     
549       	0.085     	0.081     
550       	0.091     	0.078     
551       	0.100     	0.065     
552       	0.066     	0.107     
553       	0.087     	0.077     
554       	0.077     	0.095     
555       	0.070     	0.088     
556       	0.070     	0.104     
557       	0.080     	0.104     
558       	0.083     	0.111     
559       	0.075     	0.086     
560       	0.073     	0.097     
561       	0.069     	0.076     
562       	0.079     	0.080     
563       	0.084     	0.095     
564       	0.093     	0.083     
565       	0.076     	0.091     
566       	0.069     	0.080     
567       	0.081     	0.085     
568       	0.099     	0.066     
569       	0.067     	0.107     
570       	0.063     	0.107     
571       	0.081     	0.080     
572       	0.071     	0.094     
573       	0.080     	0.076     
574       	0.089     	0.063     
575       	0.089     	0.073     
576       	0.070     	0.073     
577       	0.087     	0.069     
578       	0.091     	0.059     
579       	0.081     	0.056     
580       	0.061     	0.073     
581       	0.069     	0.079     
582       	0.073     	0.073     
583       	0.085     	0.069     
584       	0.068     	0.077     
585       	0.057     	0.081     
586       	0.072     	0.085     
587       	0.075     	0.067     
588       	0.087     	0.084     
589       	0.079     	0.063     
590       	0.062     	0.075     
591       	0.067     	0.065     
592       	0.059     	0.063     
593       	0.069     	0.051     
594       	0.079     	0.072     
595       	0.054     	0.078     
596       	0.080     	0.046     
597       	0.059     	0.062     
598       	0.058     	0.048     
599       	0.061     	0.047     
600       	0.066     	0.063     
601       	0.075     	0.059     
602       	0.071     	0.065     
603       	0.077     	0.075     
604       	0.063     	0.083     
605       	0.076     	0.068     
606       	0.079     	0.084     
607       	0.073     	0.077     
608       	0.086     	0.064     
609       	0.073     	0.053     
610       	0.052     	0.053     
611       	0.063     	0.045     
612       	0.061     	0.054     
613       	0.075     	0.061     
614       	0.043     	0.057     
615       	0.052     	0.059     
616       	0.067     	0.091     
617       	0.071     	0.065     
618       	0.077     	0.065     
619       	0.067     	0.055     
620       	0.043     	0.069     
621       	0.062     	0.065     
622       	0.063     	0.066     
623       	0.053     	0.059     
624       	0.051     	0.055     
625       	0.045     	0.053     
626       	0.039     	0.072     
627       	0.055     	0.058     
